company_name,Last Traded Price,pct_change,absolute_change,volume,buy_price,sell_price,buy_qty,sell_qty
360 ONE WAM,1,138.9,-0.38,-4.3,1,662,158,0
3M India,34,875,-0.4,-140,3,857,34,875
Aadhar Housing,488,1.57,7.55,251,19,0,488,0
Aarti Ind,369.8,1.54,5.6,417,538,0,369.8,0
AAVAS Financier,1,458.2,0.17,2.5,237,823,0,1
Abbott India,28,35,0.2,55,3,745,0,28
ACC,1,751.5,-0.19,-3.4,220,65,1,751.5
ACME Solar,232.71,-0.03,-0.07,1,335,471,0,232.71
Action Const,927.5,0.25,2.3,121,845,0,927.5,0
Adani Total Gas,568.75,-2.27,-13.2,760,702,568.75,0,505
AB Capital,348.7,1.29,4.45,4,825,518,0,348.7
Aditya Birla F,76.82,1.86,1.4,2,725,648,0,76.82
Aditya Birla Re,1,738.7,1.2,20.6,133,661,0,0
ABSL AMC,760.7,-3.02,-23.7,348,492,0,760.7,0
Aegis Logistics,736.25,0.9,6.55,146,816,736.25,0,9
Afcons Infra,379.85,0.11,0.4,1,73,383,379.85,0
AFFLE 3I,1,719,2.68,44.9,742,479,1,719
AIA Engineering,3,803.9,0.09,3.6,29,688,3,803.9
Ajanta Pharma,2,632.6,1.24,32.3,110,6,0,0
Akums Drugs P,427.2,1.22,5.15,79,62,427.2,0,313
Alembic Pharma,859.9,1.37,11.65,65,161,0,859.9,0
Alivus Life,900.65,0.08,0.75,28,703,0,900.65,0
Alkem Lab,5,555.5,0.62,34.5,51,668,5,555.5
Alkyl Amines,1,608.7,2.63,41.3,23,228,0,1
Alok Industries,16.04,2.36,0.37,3,458,437,16.04,0
Amara Raja,925.55,0.15,1.4,208,841,925.55,0,1
Amber Enterpris,6,681,1.45,95.5,182,921,0,6
Anand Rathi,3,3.2,0.43,12.8,419,182,0,3
Anant Raj,551.6,3.76,20,3,779,244,551.6,0
Angel One,2,518.1,1.57,39,588,239,0,2
Apar Ind,8,757.5,1.73,149,105,70,8,757.5
APL Apollo,1,820.1,1.36,24.4,521,770,0,0
Apollo Tyres,507.05,2.24,11.1,1,434,222,0,507.05
APTUS VALUE,283.55,0.25,0.7,334,9,283.55,0,12
Asahi India,1,8.7,2.71,26.6,760,159,0,1
Ashok Leyland,173.56,1.16,1.99,16,822,313,173.56,0
Aster DM Health,598.2,1.05,6.2,892,132,0,0,0
Astral Ltd,1,423.6,1.12,15.7,1,26,91,1
AstraZeneca,9,91.5,0.16,14.5,5,946,0,9
Atul,6,7,3.58,207.5,138,405,0,6
AU Small Financ,985.15,-0.25,-2.5,2,775,343,0,985.15
Aurobindo Pharm,1,225.1,1.31,15.8,1,396,499,0
Authum Invest,2,908.5,7.63,206.3,526,64,2,908.5
AWL Agri,244.85,2.34,5.6,1,309,983,244.85,0
Balkrishna Ind,2,365.4,-0.05,-1.3,108,298,0,2
Balrampur Chini,437.65,-2.92,-13.15,986,605,0,437.65,0
Bandhan Bank,150.09,3.28,4.76,10,953,964,0,150.09
Bank of India,143.21,0.64,0.91,4,35,757,0,143.21
Bank of Mah,57.31,1.65,0.93,8,998,94,57.31,0
BASF,3,897.8,2.17,82.6,14,985,3,897.8
Bata India,950.65,1.12,10.55,95,986,950.65,0,12
Bayer CropScien,4,301.4,0.27,11.7,143,667,0,0
BEML,1,721.4,3.27,54.5,175,133,0,1
Berger Paints,538,0.31,1.65,268,604,0,538,0
Bharat Dynamics,1,373.1,2.28,30.6,859,88,1,373.1
Bharat Forge,1,439.9,2.3,32.4,503,965,0,0
BHEL,275.75,0.25,0.7,7,50,742,0,275.75
Bharti Hexacom,1,793.4,1.63,28.8,195,847,0,1
Bikaji Foods,749.2,0.81,6,105,640,0,749.2,0
Biocon,398.55,1.61,6.3,4,142,159,0,398.55
Birlasoft,433.45,0.02,0.1,766,933,433.45,0,242
BLS Internation,325.3,2.8,8.85,12,333,221,0,325.3
Blue Dart,5,408.5,2.43,128.5,17,548,0,5
Blue Star,1,781.4,-3.95,-73.2,850,41,0,1
Bombay Burmah,1,902.9,0.37,7.1,24,172,0,1
Brainbees Solu,296.7,-0.35,-1.05,1,470,168,0,296.7
Brigade Ent,866.95,-1.05,-9.2,130,800,866.95,0,1
BSE Limited,2,684.8,0.07,1.9,3,867,770,0
C. E. Info Syst,1,667.3,0.36,5.9,54,758,0,1
Campus Active,263.7,2.69,6.9,148,691,0,263.7,0
Can Fin Homes,936.6,1.42,13.15,296,202,0,936.6,0
Caplin Labs,1,926.9,1.01,19.3,23,454,0,0
Capri Global,180.32,1.66,2.95,650,301,0,0,0
Carborundum,856.25,0.71,6.05,92,965,0,856.25,0
Castrol,182.82,-0.28,-0.52,888,709,182.82,0,866
CCL Products,969.9,-2.06,-20.4,133,767,0,969.9,0
Ceat,3,931.7,5.03,188.4,416,926,0,3
Central Bank,36.78,2.11,0.76,7,343,751,36.78,0
CDSL,1,499.6,0.67,10,817,447,0,0
CenturyPlyboard,822.9,0.6,4.9,76,505,0,822.9,0
Cera Sanitary,5,291.5,0.01,0.5,12,105,5,291.5
CESC,169.04,1.97,3.27,963,684,0,169.04,0
Chalet Hotels,871.1,1.7,14.55,54,251,0,871.1,0
Chambal Fert,445.35,1.17,5.15,792,544,445.35,0,50
Chennai Petro,887.9,-0.35,-3.15,817,240,0,887.9,0
Chola Fin Hold,1,827.6,1.05,19,177,162,0,0
City Union Bank,278.85,1.33,3.65,1,334,208,0,278.85
Clean Science,900.45,-0.43,-3.85,136,683,0,900.45,0
Cochin Shipyard,1,548.3,2.8,42.2,606,429,1,548.3
COFORGE,1,845.4,-0.51,-9.4,2,31,217,0
Cohance Life,538.45,1.66,8.8,740,594,0,538.45,0
Colgate,2,111.1,1.01,21.1,399,228,2,111.1
CAMS,758.1,0.77,5.8,787,312,0,758.1,0
Concord Biotech,1,336,-0.59,-7.9,44,41,0,1
Container Corp,501.35,0.62,3.1,656,526,501.35,0,65
Coromandel Int,2,358.5,4.92,110.6,901,115,2,358.5
Craftsman,7,42.5,-0.41,-29,23,667,0,7
CreditAccess Gr,1,279.9,1.19,15.1,155,355,1,279.9
CRISIL,4,378.2,1.11,48.1,87,730,0,4
CG Consumer,255.6,-0.02,-0.05,3,766,354,255.6,0
Cummins,4,410.4,0.57,25,507,355,0,4
Cyient,1,157.6,1.43,16.3,300,830,1,157.6
Dalmia Bharat,2,15.3,-0.45,-9.1,228,328,2,15.3
Data Patterns,2,556.4,1.74,43.8,173,803,0,2
DCM Shriram,1,212.5,-0.39,-4.7,36,224,0,0
Deepak Fert,1,204.8,0.83,9.9,174,239,0,1
Deepak Nitrite,1,667,5.34,84.5,683,67,0,1
Delhivery,405.95,0.89,3.6,2,827,513,0,405.95
Devyani Int,130.86,3.77,4.75,1,258,340,0,130.86
Dixon Technolog,13,268,-0.23,-31,585,596,0,13
DOMS Industries,2,589.4,1.99,50.6,24,441,2,589.4
Dr Lal PathLab,1,391.6,0,1,391.6,487,16,0
eClerx Services,4,524.5,1.26,56.3,45,561,4,524.5
EID Parry,1,0.2,-2.59,-26.6,355,619,1,0.2
EIH,366.85,1.82,6.55,1,227,273,0,366.85
Elecon Eng,482.8,2.44,11.5,298,741,0,0,0
Elgi Equipments,470.6,0.68,3.2,204,90,0,470.6,0
Emami,519.25,-1.58,-8.35,664,682,519.25,0,17
Emcure Pharmace,1,385,-0.2,-2.8,43,615,0,1
Endurance Techn,2,695.8,3.03,79.3,84,949,0,0
Engineers India,199.22,2.43,4.73,1,533,185,0,199.22
Eris Life,1,571.6,1.26,19.5,36,657,1,571.6
Escorts Kubota,3,615.8,-0.62,-22.6,125,821,0,3
Exide Ind,363.25,1.17,4.2,1,661,778,0,363.25
Federal Bank,267.85,0.92,2.45,7,746,13,267.85,0
Fert and Chem,863.05,1.51,12.85,132,379,863.05,0,676
Finolex Cables,787.25,1.61,12.45,392,875,0,787.25,0
Finolex Ind,166.18,0.7,1.16,246,677,166.18,0,7
Firstsource Sol,346.5,1.21,4.15,406,485,0,346.5,0
Five-Star Busin,569.9,-3.41,-20.15,813,666,569.9,0,217
Fortis Health,890.9,2.83,24.55,4,605,427,0,890.9
FSN E-Co Nykaa,249.05,2.03,4.95,4,9,145,0,249.05
Garden Reach Sh,2,297.2,3.38,75,1,240,287,2
GE Vernova TD,2,927,2.29,65.5,853,885,0,2
General Insuran,365.45,0.87,3.15,707,595,365.45,0,2
Gillette India,7,983.5,-0.14,-11,18,471,7,983.5
Gland,1,671.7,0.32,5.4,104,194,1,671.7
GlaxoSmithKline,2,529,-0.99,-25.2,126,499,2,529
Glenmark,1,992.1,1.79,35,527,847,0,1
Global Health,1,169.6,1.47,17,136,553,1,169.6
GMR Airports,101.53,0.93,0.94,32,492,470,101.53,0
Go Digit,343.3,0.22,0.75,571,412,343.3,0,401
Godawari Power,235.55,-1.08,-2.58,918,595,235.55,0,327
Godfrey Phillip,2,814.8,1.92,53.1,175,523,2,814.8
Godrej Agrovet,570.85,1.36,7.65,73,579,570.85,0,30
Godrej Ind,992.6,-1.74,-17.6,206,281,992.6,0,30
Godrej Prop,2,44.8,2.25,45,628,62,0,2
Granules India,583.4,0.27,1.55,2,93,530,583.4,0
